model_id,bin_id,lower,upper,rows,positives,mean_probability,observed_rate,calibration_gap
original_BL2,0,0.0,0.05,269,2,0.03801133606851137,0.007434944237918215,0.030576391830593155
original_BL2,1,0.05,0.1,1117,14,0.0782272752126171,0.012533572068039392,0.06569370314457772
original_BL2,2,0.1,0.15,1870,37,0.1261205423685148,0.019786096256684493,0.10633444611183031
original_BL2,3,0.15,0.2,2098,56,0.17542705631931949,0.02669208770257388,0.1487349686167456
original_BL2,4,0.2,0.25,2281,96,0.2249888629385836,0.04208680403331872,0.1829020589052649
original_BL2,5,0.25,0.3,2177,107,0.2747667954776535,0.0491502067064768,0.22561658877117668
original_BL2,6,0.3,0.35,2184,122,0.3243837470022334,0.055860805860805864,0.2685229411414275
original_BL2,7,0.35,0.4,1991,137,0.374447203580564,0.06880964339527876,0.3056375601852852
original_BL2,8,0.4,0.45,1821,163,0.4247099514868565,0.08951125755079627,0.3351986939360602
original_BL2,9,0.45,0.5,1690,183,0.47492652179215417,0.10828402366863905,0.3666424981235151
original_BL2,10,0.5,0.55,1551,222,0.5244780964498829,0.14313346228239845,0.38134463416748443
original_BL2,11,0.55,0.6,1338,193,0.5737627610206131,0.14424514200298955,0.42951761901762353
original_BL2,12,0.6,0.65,1122,201,0.6234013123123591,0.17914438502673796,0.4442569272856211
original_BL2,13,0.65,0.7,879,168,0.6736861389325968,0.19112627986348124,0.4825598590691155
original_BL2,14,0.7,0.75,725,173,0.7232618150407996,0.2386206896551724,0.48464112538562715
original_BL2,15,0.75,0.8,434,124,0.7728334635707399,0.2857142857142857,0.4871191778564542
original_BL2,16,0.8,0.85,170,50,0.8208130217116696,0.29411764705882354,0.526695374652846
original_BL2,17,0.85,0.9,34,15,0.8647808908712356,0.4411764705882353,0.42360442028300027
original_BL2,18,0.9,0.95,1,0,0.9076079980169556,0.0,0.9076079980169556
original_BL2,19,0.95,1.0,0,0,,,
selected_calibrator,0,0.0,0.05,9937,314,0.027892804542360154,0.031599074167253695,-0.0037062696248935413
selected_calibrator,1,0.05,0.1,6846,517,0.07176322119076085,0.07551855097867367,-0.00375532978791282
selected_calibrator,2,0.1,0.15,3433,478,0.12212975353068681,0.13923681910865132,-0.017107065577964514
selected_calibrator,3,0.15,0.2,1738,297,0.1719790733461929,0.17088607594936708,0.0010929973968258067
selected_calibrator,4,0.2,0.25,952,222,0.22302697122484588,0.23319327731092437,-0.010166306086078492
selected_calibrator,5,0.25,0.3,486,120,0.2713491404762792,0.24691358024691357,0.02443556022936566
selected_calibrator,6,0.3,0.35,231,76,0.32094830848755657,0.329004329004329,-0.008056020516772455
selected_calibrator,7,0.35,0.4,86,24,0.3715174474599844,0.27906976744186046,0.09244768001812392
selected_calibrator,8,0.4,0.45,32,9,0.4175884508639712,0.28125,0.13633845086397117
selected_calibrator,9,0.45,0.5,7,4,0.4622862357248308,0.5714285714285714,-0.1091423357037406
selected_calibrator,10,0.5,0.55,4,2,0.5143517274765056,0.5,0.014351727476505594
selected_calibrator,11,0.55,0.6,0,0,,,
selected_calibrator,12,0.6,0.65,0,0,,,
selected_calibrator,13,0.65,0.7,0,0,,,
selected_calibrator,14,0.7,0.75,0,0,,,
selected_calibrator,15,0.75,0.8,0,0,,,
selected_calibrator,16,0.8,0.85,0,0,,,
selected_calibrator,17,0.85,0.9,0,0,,,
selected_calibrator,18,0.9,0.95,0,0,,,
selected_calibrator,19,0.95,1.0,0,0,,,
