source,event_date,rows,official_long_view_positives
canonical_random_union,2022-04-22,1009,75
canonical_random_union,2022-04-23,1688,121
canonical_random_union,2022-04-24,1517,114
canonical_random_union,2022-04-25,1462,120
canonical_random_union,2022-04-26,1519,134
canonical_random_union,2022-04-27,1536,122
canonical_random_union,2022-04-28,1483,112
canonical_random_union,2022-04-29,1785,149
canonical_random_union,2022-04-30,2170,162
canonical_random_union,2022-05-01,2152,178
canonical_random_union,2022-05-02,2954,271
canonical_random_union,2022-05-03,4029,348
canonical_random_union,2022-05-04,3682,342
canonical_random_union,2022-05-05,3642,334
canonical_random_union,2022-05-06,4290,371
canonical_random_union,2022-05-07,3885,318
canonical_random_union,2022-05-08,4224,350
random_silver_main,total,42982,3576
official_formula_mismatch_addback,total,45,45
canonical_random_union,total,43027,3621
standard_history_unseen_user_rows,total,0,0
standard_history_unseen_video_rows,total,11141,NA
videos_basic_missing_metadata_rows,total,0,NA
