source,event_date,tab1_rows,official_long_view_positives,unique_source_identities
late_standard_silver,2022-04-22,238921,75210,238921
late_standard_silver,2022-04-23,278598,88399,278598
late_standard_silver,2022-04-24,227426,70647,227426
late_standard_silver,2022-04-25,228870,72500,228870
late_standard_silver,2022-04-26,226892,72517,226892
late_standard_silver,2022-04-27,234413,72538,234413
late_standard_silver,2022-04-28,228748,70499,228748
late_standard_silver,2022-04-29,261523,79451,261523
late_standard_silver,2022-04-30,289224,92732,289224
late_standard_silver,2022-05-01,290418,92853,290418
late_standard_silver,2022-05-02,282501,87881,282501
late_standard_silver,2022-05-03,291617,88810,291617
late_standard_silver,2022-05-04,276466,84860,276466
late_standard_silver,2022-05-05,250047,75503,250047
late_standard_silver,2022-05-06,261127,78891,261127
late_standard_silver,2022-05-07,259611,79202,259611
late_standard_silver,2022-05-08,277765,84781,277765
late_standard_silver,total,4404167,1367274,4404167
official_formula_mismatch_addback,2022-04-22,1513,1512,1513
official_formula_mismatch_addback,2022-04-23,1745,1743,1745
official_formula_mismatch_addback,2022-04-24,1429,1428,1429
official_formula_mismatch_addback,2022-04-25,1451,1450,1451
official_formula_mismatch_addback,2022-04-26,1508,1508,1508
official_formula_mismatch_addback,2022-04-27,1419,1419,1419
official_formula_mismatch_addback,2022-04-28,1450,1448,1450
official_formula_mismatch_addback,2022-04-29,1599,1599,1599
official_formula_mismatch_addback,2022-04-30,1822,1820,1822
official_formula_mismatch_addback,2022-05-01,1731,1729,1731
official_formula_mismatch_addback,2022-05-02,1757,1757,1757
official_formula_mismatch_addback,2022-05-03,1860,1859,1860
official_formula_mismatch_addback,2022-05-04,1697,1697,1697
official_formula_mismatch_addback,2022-05-05,1463,1463,1463
official_formula_mismatch_addback,2022-05-06,1534,1532,1534
official_formula_mismatch_addback,2022-05-07,1522,1521,1522
official_formula_mismatch_addback,2022-05-08,1632,1629,1632
official_formula_mismatch_addback,total,27132,27114,27132
canonical_union,total,4431299,1394388,4431299
